   #Hard on HCl         #J all              #              #
 #Erot(HCl)cm-1             #J    #Speed(m/s)
          41.80              2         310.19
          79.49              2         611.01
         497.44              7         389.62
         148.00              4         184.74
         124.76              3         719.39
         121.64              3         443.32
          12.70              1         248.80
         322.31              5          59.34
         977.94              9         257.68
         177.19              4         231.02
         234.67              4         362.94
         593.34              8         347.23
         142.26              4         270.84
          51.17              2         260.28
          87.66              3         640.73
          59.15              2         242.26
         105.29              3         448.09
        1410.59             11         221.43
         621.96              8         446.29
         230.47              4         253.49
         122.55              3         230.73
          98.16              3         453.11
         191.48              4         447.71
         472.38              6         420.07
          87.40              3         330.40
         187.99              3         197.35
         620.11              8         150.55
          45.14              2         201.93
          74.52              2         232.21
          32.54              1         507.87
          88.34              3         458.02
         491.14              6         688.23
         920.35              8         411.13
        1631.65             13         248.31
         347.23              5         390.64
          24.99              1         271.14
           1.40              0         469.43
          53.36              2         533.62
         163.55              4         385.90
         185.10              4         283.54
          39.57              2         682.28
         525.21              8         242.26
          30.61              1         431.13
         109.91              2         369.32
        1555.38             13         479.25
         228.72              5         241.25
          99.61              2         150.12
         142.00              4         233.61
         460.44              7         402.47
          17.35              1         206.79
         400.43              6         171.19
          56.08              2         233.06
         305.00              4         313.00
        1838.04             14         173.19
         790.43              8         257.28
         546.82              7         397.32
         344.88              6         367.03
         410.70              6         102.71
          43.29              2         688.49
         475.80              7         223.87
         171.87              4         344.62
         209.30              4         261.57
         415.23              6         219.32
          73.75              2         288.60
         393.89              6         385.02
         361.77              6         388.56
         621.87              7         217.89
         241.78              5         381.10
          16.92              1         311.30
         281.79              5         593.30
          68.93              2         289.43
         107.03              3         214.98
         239.97              5         587.41
         290.18              5         751.78
         231.22              4         259.85
         223.15              4         161.56
         144.26              3         320.03
         229.46              5         178.94
         125.20              3         568.64
         149.62              4         176.69
         314.20              6         143.18
         262.92              4         317.96
         244.20              5         168.72
